| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_artila_m501_0hash_empty empty] || 979 || 139 || 17 || 2 || 1 || 1 || 0 || [wiki:r2011measureDetailsPage_16_0hash_empty Details]
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_artila_m501_blake32_sphlib sphlib] || 19733 || 2499 || 359 || 87 || 67 || 57 || 47 || [wiki:r2011measureDetailsPage_16_blake32_sphlib Details]
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_artila_m501_blake64_sphlib sphlib] || 33683 || 4216 || 529 || 185 || 153 || 136 || 119 || [wiki:r2011measureDetailsPage_16_blake64_sphlib Details]
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_artila_m501_bmw256_optc04 optc04] || 20419 || 2557 || 349 || 66 || 45 || 35 || 26 || [wiki:r2011measureDetailsPage_16_bmw256_optc04 Details]
|[wiki:r2011ciphers_bmw512 bmw512] || [wiki:r2011platformsimplementations_artila_m501_bmw512_sphlib-small sphlib-small] || 35348 || 4428 || 557 || 151 || 116 || 99 || 82 || [wiki:r2011measureDetailsPage_16_bmw512_sphlib-small Details]
|[wiki:r2011ciphers_cubehash161 cubehash161] || [wiki:r2011platformsimplementations_artila_m501_cubehash161_simple simple] || 683550 || 117834 || 43302 || 33786 || 33141 || 32919 || 32698 || [wiki:r2011measureDetailsPage_16_cubehash161_simple Details]
|[wiki:r2011ciphers_cubehash1616 cubehash1616] || [wiki:r2011platformsimplementations_artila_m501_cubehash1616_simple simple] || 682943 || 85435 || 12925 || 3416 || 2739 || 2400 || 2060 || [wiki:r2011measureDetailsPage_16_cubehash1616_simple Details]
|[wiki:r2011ciphers_cubehash162 cubehash162] || [wiki:r2011platformsimplementations_artila_m501_cubehash162_simple simple] || 695059 || 103113 || 27082 || 17589 || 16916 || 16572 || 16229 || [wiki:r2011measureDetailsPage_16_cubehash162_simple Details]
|[wiki:r2011ciphers_cubehash1632 cubehash1632] || [wiki:r2011platformsimplementations_artila_m501_cubehash1632_sphlib-small sphlib-small] || 57038 || 7145 || 1107 || 264 || 204 || 174 || 144 || [wiki:r2011measureDetailsPage_16_cubehash1632_sphlib-small Details]
|[wiki:r2011ciphers_cubehash164 cubehash164] || [wiki:r2011platformsimplementations_artila_m501_cubehash164_simple simple] || 683449 || 93576 || 18992 || 9495 || 8817 || 8475 || 8134 || [wiki:r2011measureDetailsPage_16_cubehash164_simple Details]
|[wiki:r2011ciphers_cubehash168 cubehash168] || [wiki:r2011platformsimplementations_artila_m501_cubehash168_simple simple] || 682988 || 89476 || 14756 || 5443 || 4760 || 4427 || 4094 || [wiki:r2011measureDetailsPage_16_cubehash168_simple Details]
|[wiki:r2011ciphers_cubehash81 cubehash81] || [wiki:r2011platformsimplementations_artila_m501_cubehash81_simple simple] || 344036 || 59245 || 21783 || 16936 || 16586 || 16413 || 16239 || [wiki:r2011measureDetailsPage_16_cubehash81_simple Details]
|[wiki:r2011ciphers_cubehash816 cubehash816] || [wiki:r2011platformsimplementations_artila_m501_cubehash816_simple simple] || 343710 || 43017 || 6420 || 1719 || 1395 || 1223 || 1050 || [wiki:r2011measureDetailsPage_16_cubehash816_simple Details]
|[wiki:r2011ciphers_cubehash82 cubehash82] || [wiki:r2011platformsimplementations_artila_m501_cubehash82_simple simple] || 344081 || 51147 || 13697 || 8827 || 8485 || 8318 || 8151 || [wiki:r2011measureDetailsPage_16_cubehash82_simple Details]
|[wiki:r2011ciphers_cubehash832 cubehash832] || [wiki:r2011platformsimplementations_artila_m501_cubehash832_simple simple] || 343688 || 42996 || 5913 || 1213 || 877 || 716 || 554 || [wiki:r2011measureDetailsPage_16_cubehash832_simple Details]
