| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_nslu2-openwrt_0hash_empty empty] || 6101 || 765 || 96 || 12 || 6 || 3 || 0 || [wiki:r2011measureDetailsPage_24_0hash_empty Details]
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 30640 || 3832 || 530 || 112 || 82 || 67 || 52 || [wiki:r2011measureDetailsPage_24_blake32_sphlib Details]
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake64_sphlib-small sphlib-small] || 43474 || 5451 || 682 || 234 || 191 || 170 || 148 || [wiki:r2011measureDetailsPage_24_blake64_sphlib-small Details]
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 23724 || 2986 || 416 || 89 || 66 || 54 || 42 || [wiki:r2011measureDetailsPage_24_bmw256_sphlib Details]
|[wiki:r2011ciphers_bmw512 bmw512] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 66683 || 8358 || 1047 || 209 || 143 || 111 || 78 || [wiki:r2011measureDetailsPage_24_bmw512_sphlib Details]
|[wiki:r2011ciphers_cubehash161 cubehash161] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash161_unrolled unrolled] || 106832 || 17924 || 6207 || 4778 || 4662 || 4601 || 4541 || [wiki:r2011measureDetailsPage_24_cubehash161_unrolled Details]
|[wiki:r2011ciphers_cubehash1616 cubehash1616] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1616_unrolled unrolled] || 106733 || 13425 || 1996 || 534 || 429 || 377 || 325 || [wiki:r2011measureDetailsPage_24_cubehash1616_unrolled Details]
|[wiki:r2011ciphers_cubehash162 cubehash162] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash162_unrolled unrolled] || 106866 || 15680 || 3965 || 2535 || 2413 || 2355 || 2297 || [wiki:r2011measureDetailsPage_24_cubehash162_unrolled Details]
|[wiki:r2011ciphers_cubehash1632 cubehash1632] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1632_unrolled5 unrolled5] || 44671 || 5615 || 798 || 189 || 145 || 123 || 101 || [wiki:r2011measureDetailsPage_24_cubehash1632_unrolled5 Details]
|[wiki:r2011ciphers_cubehash164 cubehash164] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash164_unrolled unrolled] || 107132 || 14591 || 2847 || 1413 || 1272 || 1229 || 1185 || [wiki:r2011measureDetailsPage_24_cubehash164_unrolled Details]
|[wiki:r2011ciphers_cubehash168 cubehash168] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash168_unrolled unrolled] || 108462 || 14194 || 2309 || 859 || 718 || 665 || 612 || [wiki:r2011measureDetailsPage_24_cubehash168_unrolled Details]
|[wiki:r2011ciphers_cubehash512 cubehash512] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash512_unrolled5 unrolled5] || 20931 || 2646 || 431 || 144 || 123 || 113 || 103 || [wiki:r2011measureDetailsPage_24_cubehash512_unrolled5 Details]
|[wiki:r2011ciphers_cubehash81 cubehash81] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash81_unrolled unrolled] || 61895 || 10172 || 3364 || 2546 || 2468 || 2431 || 2394 || [wiki:r2011measureDetailsPage_24_cubehash81_unrolled Details]
|[wiki:r2011ciphers_cubehash816 cubehash816] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash816_unrolled unrolled] || 62011 || 7820 || 1165 || 313 || 252 || 221 || 191 || [wiki:r2011measureDetailsPage_24_cubehash816_unrolled Details]
|[wiki:r2011ciphers_cubehash82 cubehash82] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash82_unrolled unrolled] || 61978 || 9009 || 2193 || 1341 || 1280 || 1258 || 1236 || [wiki:r2011measureDetailsPage_24_cubehash82_unrolled Details]
|[wiki:r2011ciphers_cubehash832 cubehash832] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash832_unrolled unrolled] || 62028 || 7833 || 1090 || 239 || 178 || 148 || 118 || [wiki:r2011measureDetailsPage_24_cubehash832_unrolled Details]
|[wiki:r2011ciphers_cubehash84 cubehash84] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash84_unrolled unrolled] || 62011 || 8425 || 1606 || 753 || 710 || 671 || 631 || [wiki:r2011measureDetailsPage_24_cubehash84_unrolled Details]
|[wiki:r2011ciphers_cubehash88 cubehash88] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash88_unrolled unrolled] || 61978 || 8119 || 1310 || 460 || 399 || 368 || 338 || [wiki:r2011measureDetailsPage_24_cubehash88_unrolled Details]
|[wiki:r2011ciphers_echo256 echo256] || [wiki:r2011platformsimplementations_nslu2-openwrt_echo256_sphlib-small sphlib-small] || 60465 || 7544 || 947 || 277 || 257 || 227 || 197 || [wiki:r2011measureDetailsPage_24_echo256_sphlib-small Details]
|[wiki:r2011ciphers_echo512 echo512] || [wiki:r2011platformsimplementations_nslu2-openwrt_echo512_sphlib-small sphlib-small] || 69709 || 8730 || 1092 || 523 || 455 || 429 || 404 || [wiki:r2011measureDetailsPage_24_echo512_sphlib-small Details]
|[wiki:r2011ciphers_echosp256 echosp256] || [wiki:r2011platformsimplementations_nslu2-openwrt_echosp256_generic_opt32 generic_opt32] || 94962 || 12128 || 1521 || 372 || 276 || 250 || 223 || [wiki:r2011measureDetailsPage_24_echosp256_generic_opt32 Details]
|[wiki:r2011ciphers_echosp512 echosp512] || [wiki:r2011platformsimplementations_nslu2-openwrt_echosp512_generic_opt32 generic_opt32] || 105386 || 13419 || 1681 || 432 || 403 || 326 || 250 || [wiki:r2011measureDetailsPage_24_echosp512_generic_opt32 Details]
|[wiki:r2011ciphers_fugue256 fugue256] || [wiki:r2011platformsimplementations_nslu2-openwrt_fugue256_sphlib sphlib] || 42427 || 5933 || 880 || 218 || 171 || 147 || 123 || [wiki:r2011measureDetailsPage_24_fugue256_sphlib Details]
|[wiki:r2011ciphers_fugue512 fugue512] || [wiki:r2011platformsimplementations_nslu2-openwrt_fugue512_sphlib sphlib] || 71055 || 9582 || 1402 || 380 || 307 || 270 || 233 || [wiki:r2011measureDetailsPage_24_fugue512_sphlib Details]
|[wiki:r2011ciphers_hamsi hamsi] || [wiki:r2011platformsimplementations_nslu2-openwrt_hamsi_sphlib sphlib] || 27265 || 3824 || 785 || 379 || 328 || 294 || 260 || [wiki:r2011measureDetailsPage_24_hamsi_sphlib Details]
|[wiki:r2011ciphers_hamsi512 hamsi512] || [wiki:r2011platformsimplementations_nslu2-openwrt_hamsi512_sphlib-small sphlib-small] || 43208 || 9337 || 1577 || 990 || 909 || 875 || 840 || [wiki:r2011measureDetailsPage_24_hamsi512_sphlib-small Details]
|[wiki:r2011ciphers_lane256 lane256] || [wiki:r2011platformsimplementations_nslu2-openwrt_lane256_c c] || 77240 || 11060 || 1372 || 314 || 238 || 200 || 162 || [wiki:r2011measureDetailsPage_24_lane256_c Details]
|[wiki:r2011ciphers_lane512 lane512] || [wiki:r2011platformsimplementations_nslu2-openwrt_lane512_c c] || 272633 || 49274 || 6162 || 1474 || 1208 || 1085 || 962 || [wiki:r2011measureDetailsPage_24_lane512_c Details]
|[wiki:r2011ciphers_luffa256 luffa256] || [wiki:r2011platformsimplementations_nslu2-openwrt_luffa256_sphlib sphlib] || 20000 || 2506 || 461 || 132 || 108 || 96 || 84 || [wiki:r2011measureDetailsPage_24_luffa256_sphlib Details]
|[wiki:r2011ciphers_luffa512 luffa512] || [wiki:r2011platformsimplementations_nslu2-openwrt_luffa512_sphlib sphlib] || 38271 || 4788 || 893 || 243 || 197 || 173 || 150 || [wiki:r2011measureDetailsPage_24_luffa512_sphlib Details]
|[wiki:r2011ciphers_mcssha4 mcssha4] || [wiki:r2011platformsimplementations_nslu2-openwrt_mcssha4_ref ref] || 22411 || 2978 || 488 || 175 || 153 || 142 || 130 || [wiki:r2011measureDetailsPage_24_mcssha4_ref Details]
|[wiki:r2011ciphers_mcssha5 mcssha5] || [wiki:r2011platformsimplementations_nslu2-openwrt_mcssha5_ref ref] || 29061 || 3818 || 593 || 189 || 159 || 145 || 130 || [wiki:r2011measureDetailsPage_24_mcssha5_ref Details]
|[wiki:r2011ciphers_mcssha6 mcssha6] || [wiki:r2011platformsimplementations_nslu2-openwrt_mcssha6_ref ref] || 28130 || 3691 || 576 || 186 || 158 || 144 || 130 || [wiki:r2011measureDetailsPage_24_mcssha6_ref Details]
|[wiki:r2011ciphers_md6d224 md6d224] || [wiki:r2011platformsimplementations_nslu2-openwrt_md6d224_ref ref] || 169076 || 21178 || 2651 || 336 || 367 || 283 || 199 || [wiki:r2011measureDetailsPage_24_md6d224_ref Details]
|[wiki:r2011ciphers_md6d256 md6d256] || [wiki:r2011platformsimplementations_nslu2-openwrt_md6d256_ref ref] || 179733 || 22519 || 2818 || 357 || 393 || 304 || 214 || [wiki:r2011measureDetailsPage_24_md6d256_ref Details]
