| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_lm3s811-evb_0hash_empty empty] || 36 || 5 || 0 || 0 || 0 || 0 || 0 || [wiki:r2011measureDetailsPage_29_0hash_empty Details]
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_lm3s811-evb_blake32_sphlib sphlib] || 3654 || 459 || 99 || 48 || 44 || 43 || 41 || [wiki:r2011measureDetailsPage_29_blake32_sphlib Details]
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_lm3s811-evb_blake64_sphlib sphlib] || 20095 || 2516 || 308 || 183 || 163 || 153 || 143 || [wiki:r2011measureDetailsPage_29_blake64_sphlib Details]
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_lm3s811-evb_bmw256_optbgbe optbgbe] || 3619 || 459 || 81 || 31 || 28 || 26 || 24 || [wiki:r2011measureDetailsPage_29_bmw256_optbgbe Details]
|[wiki:r2011ciphers_bmw512 bmw512] || [wiki:r2011platformsimplementations_lm3s811-evb_bmw512_optbgbe optbgbe] || 15882 || 1992 || 249 || 87 || 72 || 64 || 56 || [wiki:r2011measureDetailsPage_29_bmw512_optbgbe Details]
|[wiki:r2011ciphers_cubehash1632 cubehash1632] || [wiki:r2011platformsimplementations_lm3s811-evb_cubehash1632_sphlib sphlib] || 46087 || 5762 || 858 || 226 || 181 || 158 || 136 || [wiki:r2011measureDetailsPage_29_cubehash1632_sphlib Details]
|[wiki:r2011ciphers_echo256 echo256] || [wiki:r2011platformsimplementations_lm3s811-evb_echo256_sphlib sphlib] || 37096 || 4637 || 575 || 211 || 210 || 192 || 174 || [wiki:r2011measureDetailsPage_29_echo256_sphlib Details]
|[wiki:r2011ciphers_echo512 echo512] || [wiki:r2011platformsimplementations_lm3s811-evb_echo512_sphlib sphlib] || 42782 || 5348 || 664 || 408 || 366 || 345 || 325 || [wiki:r2011measureDetailsPage_29_echo512_sphlib Details]
|[wiki:r2011ciphers_fugue256 fugue256] || [wiki:r2011platformsimplementations_lm3s811-evb_fugue256_sphlib sphlib] || 33729 || 4360 || 648 || 184 || 151 || 135 || 118 || [wiki:r2011measureDetailsPage_29_fugue256_sphlib Details]
|[wiki:r2011ciphers_fugue512 fugue512] || [wiki:r2011platformsimplementations_lm3s811-evb_fugue512_sphlib sphlib] || 125630 || 15963 || 2197 || 476 || 353 || 292 || 230 || [wiki:r2011measureDetailsPage_29_fugue512_sphlib Details]
|[wiki:r2011ciphers_hamsi hamsi] || [wiki:r2011platformsimplementations_lm3s811-evb_hamsi_sphlib sphlib] || 3874 || 696 || 272 || 220 || 216 || 214 || 212 || [wiki:r2011measureDetailsPage_29_hamsi_sphlib Details]
|[wiki:r2011ciphers_luffa256 luffa256] || [wiki:r2011platformsimplementations_lm3s811-evb_luffa256_sphlib sphlib] || 6365 || 797 || 187 || 99 || 93 || 90 || 87 || [wiki:r2011measureDetailsPage_29_luffa256_sphlib Details]
|[wiki:r2011ciphers_luffa384 luffa384] || [wiki:r2011platformsimplementations_lm3s811-evb_luffa384_arm arm] || 19826 || 2491 || 509 || 237 || 218 || 208 || 199 || [wiki:r2011measureDetailsPage_29_luffa384_arm Details]
|[wiki:r2011ciphers_luffa512 luffa512] || [wiki:r2011platformsimplementations_lm3s811-evb_luffa512_sphlib sphlib] || 15029 || 1880 || 383 || 175 || 160 || 153 || 146 || [wiki:r2011measureDetailsPage_29_luffa512_sphlib Details]
|[wiki:r2011ciphers_shabal256 shabal256] || [wiki:r2011platformsimplementations_lm3s811-evb_shabal256_sphlib sphlib] || 7184 || 899 || 143 || 42 || 35 || 31 || 28 || [wiki:r2011measureDetailsPage_29_shabal256_sphlib Details]
|[wiki:r2011ciphers_shabal512 shabal512] || [wiki:r2011platformsimplementations_lm3s811-evb_shabal512_sphlib sphlib] || 7242 || 906 || 144 || 42 || 35 || 31 || 28 || [wiki:r2011measureDetailsPage_29_shabal512_sphlib Details]
|[wiki:r2011ciphers_shavite3256 shavite3256] || [wiki:r2011platformsimplementations_lm3s811-evb_shavite3256_sphlib sphlib] || 7409 || 933 || 222 || 121 || 113 || 110 || 106 || [wiki:r2011measureDetailsPage_29_shavite3256_sphlib Details]
|[wiki:r2011ciphers_simd256 simd256] || [wiki:r2011platformsimplementations_lm3s811-evb_simd256_sphlib sphlib] || 12223 || 3013 || 375 || 209 || 197 || 191 || 185 || [wiki:r2011measureDetailsPage_29_simd256_sphlib Details]
