| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_nslu2-openwrt_0hash_empty empty] || 7099 || 890 || 110 || 14 || 7 || 3 || 0 || [wiki:r2011measureDetailsPage_30_0hash_empty Details]
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 31471 || 3942 || 544 || 114 || 83 || 68 || 52 || [wiki:r2011measureDetailsPage_30_blake32_sphlib Details]
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake64_sphlib-small sphlib-small] || 44405 || 5576 || 696 || 236 || 192 || 170 || 148 || [wiki:r2011measureDetailsPage_30_blake64_sphlib-small Details]
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 24406 || 3082 || 429 || 91 || 67 || 54 || 42 || [wiki:r2011measureDetailsPage_30_bmw256_sphlib Details]
|[wiki:r2011ciphers_bmw512 bmw512] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 67597 || 8471 || 1060 || 211 || 144 || 111 || 78 || [wiki:r2011measureDetailsPage_30_bmw512_sphlib Details]
|[wiki:r2011ciphers_cubehash1632 cubehash1632] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1632_sphlib-small sphlib-small] || 70889 || 8861 || 1345 || 304 || 229 || 201 || 172 || [wiki:r2011measureDetailsPage_30_cubehash1632_sphlib-small Details]
|[wiki:r2011ciphers_echo256 echo256] || [wiki:r2011platformsimplementations_nslu2-openwrt_echo256_sphlib-small sphlib-small] || 61114 || 7641 || 959 || 279 || 258 || 228 || 198 || [wiki:r2011measureDetailsPage_30_echo256_sphlib-small Details]
|[wiki:r2011ciphers_echo512 echo512] || [wiki:r2011platformsimplementations_nslu2-openwrt_echo512_sphlib-small sphlib-small] || 70357 || 8807 || 1102 || 525 || 456 || 421 || 386 || [wiki:r2011measureDetailsPage_30_echo512_sphlib-small Details]
|[wiki:r2011ciphers_fugue256 fugue256] || [wiki:r2011platformsimplementations_nslu2-openwrt_fugue256_sphlib sphlib] || 42776 || 5985 || 884 || 219 || 171 || 147 || 123 || [wiki:r2011measureDetailsPage_30_fugue256_sphlib Details]
|[wiki:r2011ciphers_fugue512 fugue512] || [wiki:r2011platformsimplementations_nslu2-openwrt_fugue512_sphlib sphlib] || 71188 || 9609 || 1405 || 381 || 307 || 270 || 233 || [wiki:r2011measureDetailsPage_30_fugue512_sphlib Details]
|[wiki:r2011ciphers_hamsi hamsi] || [wiki:r2011platformsimplementations_nslu2-openwrt_hamsi_sphlib sphlib] || 27465 || 3849 || 788 || 377 || 328 || 294 || 260 || [wiki:r2011measureDetailsPage_30_hamsi_sphlib Details]
|[wiki:r2011ciphers_hamsi512 hamsi512] || [wiki:r2011platformsimplementations_nslu2-openwrt_hamsi512_sphlib-small sphlib-small] || 43441 || 11187 || 1579 || 948 || 919 || 864 || 809 || [wiki:r2011measureDetailsPage_30_hamsi512_sphlib-small Details]
|[wiki:r2011ciphers_luffa256 luffa256] || [wiki:r2011platformsimplementations_nslu2-openwrt_luffa256_sphlib sphlib] || 20033 || 2515 || 463 || 132 || 108 || 96 || 84 || [wiki:r2011measureDetailsPage_30_luffa256_sphlib Details]
|[wiki:r2011ciphers_luffa512 luffa512] || [wiki:r2011platformsimplementations_nslu2-openwrt_luffa512_sphlib sphlib] || 38304 || 4798 || 895 || 244 || 197 || 173 || 150 || [wiki:r2011measureDetailsPage_30_luffa512_sphlib Details]
|[wiki:r2011ciphers_shabal256 shabal256] || [wiki:r2011platformsimplementations_nslu2-openwrt_shabal256_tiny_armeb-mixed tiny_armeb-mixed] || 22643 || 2822 || 396 || 87 || 64 || 53 || 42 || [wiki:r2011measureDetailsPage_30_shabal256_tiny_armeb-mixed Details]
|[wiki:r2011ciphers_shabal512 shabal512] || [wiki:r2011platformsimplementations_nslu2-openwrt_shabal512_tiny_armeb-mixed tiny_armeb-mixed] || 22610 || 2830 || 396 || 87 || 65 || 53 || 42 || [wiki:r2011measureDetailsPage_30_shabal512_tiny_armeb-mixed Details]
|[wiki:r2011ciphers_shavite3256 shavite3256] || [wiki:r2011platformsimplementations_nslu2-openwrt_shavite3256_sphlib sphlib] || 49094 || 6153 || 882 || 212 || 164 || 140 || 115 || [wiki:r2011measureDetailsPage_30_shavite3256_sphlib Details]
|[wiki:r2011ciphers_shavite3512 shavite3512] || [wiki:r2011platformsimplementations_nslu2-openwrt_shavite3512_IntelL1Cache IntelL1Cache] || 70773 || 8838 || 1111 || 350 || 280 || 256 || 231 || [wiki:r2011measureDetailsPage_30_shavite3512_IntelL1Cache Details]
|[wiki:r2011ciphers_simd256 simd256] || [wiki:r2011platformsimplementations_nslu2-openwrt_simd256_sphlib sphlib] || 56957 || 8951 || 1119 || 331 || 274 || 245 || 217 || [wiki:r2011measureDetailsPage_30_simd256_sphlib Details]
