| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 47421448 || 137 || 0 (20296) || 0 (864) || 0 (2416) || 0(8) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 4811070 || 82 || 0 (9486) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 4100290 || 72 || 0 (8558) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 4100289 || 72 || 0 (9152) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 4272426 || 72 || 0 (7986) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 84037875 || 3761406 || 4736 (25032) || 288 (1152) || 0 (2416) || 241(249) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 28551083 || 2436316 || 3190 (12676) || 288 (896) || 0 (2416) || 258(258) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 27766290 || 2430331 || 3390 (11948) || 288 (896) || 0 (2416) || 269(269) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 27394820 || 2375647 || 23698 (32850) || 256 (864) || 0 (2416) || 267(267) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 28221568 || 2457807 || 3228 (11214) || 288 (896) || 0 (2416) || 265(265) || Checksum OK
