| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_nslu2-openwrt_0hash_empty empty] || [wiki:r2012compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 2863922 || 6118 || 0 (23042) || 0 (388) || 0 (2828) || 0(8) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_nslu2-openwrt_0hash_empty empty] || [wiki:r2012compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 676687 || 6168 || 0 (16758) || 0 (384) || 0 (2828) || 0(16) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_nslu2-openwrt_0hash_empty empty] || [wiki:r2012compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 689256 || 6185 || 0 (16602) || 0 (384) || 0 (2828) || 0(8) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_nslu2-openwrt_0hash_empty empty] || [wiki:r2012compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 689356 || 6101 || 0 (17658) || 0 (384) || 0 (2824) || 0(16) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_nslu2-openwrt_0hash_empty empty] || [wiki:r2012compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 588708 || 5952 || 0 (16178) || 0 (384) || 0 (2828) || 0(16) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_arm_thumb2 arm_thumb2] || [wiki:r2012compilernames armeb-uclibc-gcc -O0] || 4.1.2 ||  ||  || 10508 (33550) || 0 (388) || 0 (2828) || unk(unk) || error
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_arm_thumb2 arm_thumb2] || [wiki:r2012compilernames armeb-uclibc-gcc -O1] || 4.1.2 ||  ||  || 9636 (26394) || 0 (384) || 0 (2828) || unk(unk) || error
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_arm_thumb2 arm_thumb2] || [wiki:r2012compilernames armeb-uclibc-gcc -O2] || 4.1.2 ||  ||  || 9684 (26286) || 0 (384) || 0 (2828) || unk(unk) || error
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_arm_thumb2 arm_thumb2] || [wiki:r2012compilernames armeb-uclibc-gcc -O3] || 4.1.2 ||  ||  || 10304 (27962) || 0 (384) || 0 (2824) || unk(unk) || error
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_arm_thumb2 arm_thumb2] || [wiki:r2012compilernames armeb-uclibc-gcc -Os] || 4.1.2 ||  ||  || 9524 (25702) || 0 (384) || 0 (2828) || unk(unk) || error
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 14362537 || 1191098 || 3676 (26718) || 0 (388) || 0 (2828) || 256(264) || Checksum failed
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 3520926 || 300364 || 1744 (18502) || 0 (384) || 0 (2828) || 248(264) || Checksum failed
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 3186314 || 263274 || 1692 (18294) || 0 (384) || 0 (2828) || 252(260) || Checksum failed
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 3122308 || 261661 || 6936 (24594) || 0 (384) || 0 (2824) || 584(600) || Checksum failed
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 3112732 || 263988 || 1632 (17810) || 0 (384) || 0 (2828) || 252(268) || Checksum failed
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_ref ref] || [wiki:r2012compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 7031494 || 424187 || 6456 (29498) || 0 (388) || 0 (2828) || 360(368) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_ref ref] || [wiki:r2012compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2882526 || 230206 || 3716 (20474) || 0 (384) || 0 (2828) || 408(424) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_ref ref] || [wiki:r2012compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2699218 || 208694 || 4116 (20718) || 0 (384) || 0 (2828) || 532(540) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_ref ref] || [wiki:r2012compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 3137570 || 256225 || 6436 (24094) || 0 (384) || 0 (2824) || 1324(1340) || Checksum OK
