| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2012compilernames mips-uclib-gcc -O0] || 4.2.1 || 1947326 || 14204 || 0 (43455) || 0 (968) || 0 (2844) || 0(48) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || 222004 || 14151 || 0 (34158) || 0 (964) || 0 (2844) || 0(56) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2012compilernames mips-uclib-gcc -O2] || 4.2.1 || 208224 || 13687 || 0 (32254) || 0 (964) || 0 (2844) || 0(56) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2012compilernames mips-uclib-gcc -O3] || 4.2.1 || 208025 || 13939 || 0 (32415) || 0 (964) || 0 (2840) || 0(56) || Checksum OK
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2012compilernames mips-uclib-gcc -Os] || 4.2.1 || 249073 || 13793 || 0 (32239) || 0 (964) || 0 (2844) || 0(56) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_fritzbox-7170_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames mips-uclib-gcc -O0] || 4.2.1 || 11417605 || 1033990 || 4946 (48401) || 60 (1028) || 0 (2844) || 280(328) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_fritzbox-7170_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || 2935604 || 275786 || 3242 (37400) || 60 (1024) || 0 (2844) || 280(336) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_fritzbox-7170_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames mips-uclib-gcc -O2] || 4.2.1 || 2805515 || 259157 || 3114 (35368) || 60 (1024) || 0 (2844) || 296(352) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_fritzbox-7170_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames mips-uclib-gcc -O3] || 4.2.1 || 2700231 || 259435 || 8390 (40805) || 60 (1024) || 0 (2840) || 672(728) || Checksum OK
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_fritzbox-7170_blake256_armcryptolib armcryptolib] || [wiki:r2012compilernames mips-uclib-gcc -Os] || 4.2.1 || 2825814 || 260468 || 2786 (35025) || 60 (1024) || 0 (2844) || 288(344) || Checksum OK
