| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_unrolled5 unrolled5] || 233266 || 3627 || 200 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_unrolled3 unrolled3] || 265570 || 3963 || 224 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_unrolled4 unrolled4] || 266709 || 3979 || 248 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_sphlib-small sphlib-small] || 356995 || 11939 || 752 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_31 Run 31]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_unrolled2 unrolled2] || 382687 || 4106 || 464 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_unrolled unrolled] || 459272 || 3497 || 472 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_sphlib sphlib] || 483850 || 34385 || 1452 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_31 Run 31]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_hardware2 hardware2] || 488475 || 4107 || 640 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_armcryptolib armcryptolib] || 605949 || 12164 || 1088 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_31 Run 31]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_simple simple] || 709630 || 10380 || 1120 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_11 Run 11]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_hardware4 hardware4] || 1976436 || 6715 || 1040 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_spec spec] || 2296000 || 3205 || 704 || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:r2011runs_11 Run 11]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_bitsliced bitsliced] || 3108251 || 1947 || 320 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_hardware8 hardware8] || 9917042 || 7867 || 1064 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_32 Run 32]
|[wiki:r2011platformsimplementations_fritzbox-7170_cubehash1632_hardware16 hardware16] || 57077741 || 7660 || 912 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_32 Run 32]
