| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_bitsliced bitsliced] || 8170525 || 2282 || 226 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_unrolled5 unrolled5] || 9109066 || 17070 || 494 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_avrcryptolib_cwbasm avrcryptolib_cwbasm] || 9197589 || 1648 || 249 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_3 Run 3]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_unrolled3 unrolled3] || 9264576 || 17426 || 466 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_unrolled4 unrolled4] || 9364526 || 17358 || 528 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_sphlib-small sphlib-small] || 9840674 || 40126 || 406 || [wiki:r2011compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:r2011runs_3 Run 3]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_hardware2 hardware2] || 11201436 || 9962 || 354 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_unrolled unrolled] || 12318099 || 11234 || 556 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_3 Run 3]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_unrolled2 unrolled2] || 12338480 || 17046 || 748 || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_armcryptolib armcryptolib] || 12421145 || 2108 || 253 || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || [wiki:r2011runs_3 Run 3]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_avrcryptolib avrcryptolib] || 12421191 || 2106 || 253 || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || [wiki:r2011runs_3 Run 3]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_simple simple] || 15597295 || 41150 || 992 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_3 Run 3]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_hardware4 hardware4] || 17194894 || 18628 || 638 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_spec spec] || 31615772 || 5298 || 668 || [wiki:r2011compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || [wiki:r2011runs_3 Run 3]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_hardware8 hardware8] || 48636456 || 14958 || 582 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
|[wiki:r2011platformsimplementations_atmega1281_16mhz_cubehash1632_hardware16 hardware16] || 157013001 || 14800 || 799 || [wiki:r2011compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:r2011runs_26 Run 26]
