| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_avrcryptolib_asm avrcryptolib_asm] || 809058 || 3594 || 339 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_21 Run 21]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_avrcryptolib_tinyasm avrcryptolib_tinyasm] || 1369971 || 1910 || 335 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_21 Run 21]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_optabe optabe] || 1514428 || 71098 || 1783 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_28 Run 28]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_optbbe optbbe] || 1514615 || 71140 || 1847 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_28 Run 28]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_sphlib sphlib] || 1516788 || 34870 || 1034 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_21 Run 21]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_sphlib-small sphlib-small] || 1549938 || 35124 || 1346 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_21 Run 21]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_optc02 optc02] || 1571064 || 103924 || 1824 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_22 Run 22]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_optc04 optc04] || 1577693 || 72124 || 2266 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_22 Run 22]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_optc03 optc03] || 1579118 || 72132 || 2250 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_22 Run 22]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_optbgbe optbgbe] || 1619767 || 75566 || 1418 || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2011runs_28 Run 28]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_armcryptolib-speed armcryptolib-speed] || 1625604 || 40816 || 1062 || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || [wiki:r2011runs_28 Run 28]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_armcryptolib armcryptolib] || 1780527 || 12352 || 640 || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || [wiki:r2011runs_28 Run 28]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_avrcryptolib avrcryptolib] || 2077534 || 18638 || 808 || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2011runs_21 Run 21]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_ref_xbx-pruned ref_xbx-pruned] || 2264769 || 19182 || 998 || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || [wiki:r2011runs_22 Run 22]
|[wiki:r2011platformsimplementations_atmega1284p_16mhz_bmw256_ref ref] || 2265868 || 110482 || 1830 || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || [wiki:r2011runs_22 Run 22]
