| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 266033782 || 266036159 || 2377 || 9
|2 || 266030590 || 266032568 || 1978 || 7
|3 || 266029526 || 266031687 || 2161 || 8
|5 || 266035910 || 266038287 || 2377 || 9
|6 || 266053200 || 266058869 || 5669 || 21
|8 || 266034580 || 266036658 || 2078 || 8
|163 || 266028728 || 266031288 || 2560 || 10
|246 || 266022876 || 266025237 || 2361 || 9
|537 || 266035112 || 266037406 || 2294 || 9
|888 || 266037240 || 266039701 || 2461 || 9
|1007 || 266031121 || 266033865 || 2744 || 10
|1092 || 266046816 || 266049277 || 2461 || 9
|1194 || 266057190 || 266065852 || 8662 || 33
|1357 || 266035112 || 266037273 || 2161 || 8
|1450 || 266040698 || 266042859 || 2161 || 8
|1538 || 266035910 || 266041745 || 5835 || 22
|1637 || 266023408 || 266025952 || 2544 || 10
|1719 || 266051072 || 266059651 || 8579 || 32
|1810 || 266034846 || 266037506 || 2660 || 10
|1892 || 266027398 || 266030091 || 2693 || 10
|1982 || 266043890 || 266045885 || 1995 || 7
|2065 || 266036175 || 266038537 || 2362 || 9
|2200 || 266071022 || 266078670 || 7648 || 29
|2343 || 266052934 || 266054962 || 2028 || 8
|2501 || 266048146 || 266050174 || 2028 || 8
|2653 || 266042294 || 266044206 || 1912 || 7
|2694 || 266053200 || 266061296 || 8096 || 30
|2735 || 266034047 || 266036342 || 2295 || 9
|2777 || 266025802 || 266028096 || 2294 || 9
|2818 || 266041229 || 266043408 || 2179 || 8
|3642 || 266048944 || 266050922 || 1978 || 7
|4526 || 266041229 || 266043491 || 2262 || 9
|4703 || 266036708 || 266039451 || 2743 || 10
|4747 || 266035112 || 266037689 || 2577 || 10
|5057 || 266034846 || 266037240 || 2394 || 9
|5314 || 266028728 || 266031122 || 2394 || 9
|5393 || 266040698 || 266042843 || 2145 || 8
|5570 || 266025270 || 266027631 || 2361 || 9
|5687 || 266028462 || 266030823 || 2361 || 9
|5856 || 266031919 || 266034447 || 2528 || 10
|5973 || 266030058 || 266033067 || 3009 || 11
|6141 || 266026067 || 266028445 || 2378 || 9
|6489 || 266053998 || 266062427 || 8429 || 32
|6590 || 266030856 || 266033300 || 2444 || 9
|6692 || 266026334 || 266028878 || 2544 || 10
|6969 || 266026600 || 266029376 || 2776 || 10
|7081 || 266038038 || 266040532 || 2494 || 9
|7196 || 266026067 || 266028595 || 2528 || 10
|7258 || 266026600 || 266029177 || 2577 || 10
|7286 || 266034846 || 266040515 || 5669 || 21
|7352 || 266049741 || 266051737 || 1996 || 8
|7389 || 266026865 || 266029576 || 2711 || 10
|7426 || 266031388 || 266034031 || 2643 || 10
|7464 || 266030590 || 266033267 || 2677 || 10
|7505 || 266063042 || 266071205 || 8163 || 31
|7545 || 266061446 || 266069775 || 8329 || 31
|7586 || 266031121 || 266033383 || 2262 || 9
|7626 || 266040431 || 266042926 || 2495 || 9
|7687 || 266034047 || 266036392 || 2345 || 9
|7748 || 266030856 || 266033184 || 2328 || 9
|7804 || 266023939 || 266026334 || 2395 || 9
|7861 || 266049210 || 266051222 || 2012 || 8
|7924 || 266044954 || 266053549 || 8595 || 32
|8014 || 266031919 || 266034530 || 2611 || 10
|8174 || 266023674 || 266025935 || 2261 || 8
|8530 || 266068628 || 266076874 || 8246 || 31
|8668 || 266052667 || 266054630 || 1963 || 7
|8838 || 266034314 || 266037024 || 2710 || 10
|8934 || 266037772 || 266040399 || 2627 || 10
|9080 || 266048411 || 266056957 || 8546 || 32
