| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 180554940 || 180545816 || 9124 || 51
|2 || 180505800 || 180496901 || 8899 || 49
|3 || 181719540 || 181710338 || 9202 || 51
|4 || 180610020 || 180601448 || 8572 || 47
|5 || 181357020 || 181351710 || 5310 || 29
|7 || 181708560 || 181704094 || 4466 || 25
|38 || 181109879 || 181099643 || 10236 || 57
|118 || 181609740 || 181605983 || 3757 || 21
|182 || 181406340 || 181393684 || 12656 || 70
|419 || 181054800 || 181043393 || 11407 || 63
|694 || 181406699 || 181400006 || 6693 || 37
|819 || 181022040 || 181012815 || 9225 || 51
|882 || 181428480 || 181417714 || 10766 || 59
|972 || 181225080 || 181214978 || 10102 || 56
|1083 || 180763919 || 180755786 || 8133 || 45
|1160 || 180335520 || 180324731 || 10789 || 60
|1226 || 181543860 || 181540316 || 3544 || 20
|1313 || 180642959 || 180634466 || 8493 || 47
|1370 || 181868040 || 181859749 || 8291 || 46
|1440 || 180967140 || 180955890 || 11250 || 62
|1496 || 181378980 || 181373130 || 5850 || 32
|1558 || 181911780 || 181906605 || 5175 || 28
|1619 || 181703160 || 181690920 || 12240 || 67
|1724 || 181285739 || 181277303 || 8436 || 47
|1831 || 181538460 || 181528290 || 10170 || 56
|1967 || 181801800 || 181788660 || 13140 || 72
|2104 || 180489240 || 180484751 || 4489 || 25
|2171 || 181950480 || 181945879 || 4601 || 25
|2240 || 181461599 || 181457393 || 4206 || 23
|2304 || 180912060 || 180901260 || 10800 || 60
|2368 || 181818540 || 181812983 || 5557 || 31
|5219 || 180994680 || 180984049 || 10631 || 59
|7141 || 181120860 || 181108631 || 12229 || 68
|8230 || 181005480 || 180994793 || 10687 || 59
|8278 || 181455840 || 181537166 || 81326 || 448
|8543 || 181313100 || 181305068 || 8032 || 44
|8759 || 181395360 || 181469970 || 74610 || 411
|8962 || 181065960 || 181066219 || 259 || 1
|9169 || 180719820 || 180710798 || 9022 || 50
|9277 || 181417500 || 181408759 || 8741 || 48
|9440 || 181417500 || 181409929 || 7571 || 42
|9548 || 181521720 || 181603823 || 82103 || 452
|9710 || 181164779 || 181156399 || 8380 || 46
|10056 || 181357200 || 181436468 || 79268 || 437
|10138 || 181082340 || 181069448 || 12892 || 71
|10241 || 181378980 || 181370576 || 8404 || 46
|10584 || 181510740 || 181508884 || 1856 || 10
|10700 || 180758340 || 180839329 || 80989 || 448
|10820 || 181192320 || 181265951 || 73631 || 406
|10891 || 180791280 || 180874350 || 83070 || 459
|10917 || 181005660 || 181000643 || 5017 || 28
|11286 || 181159200 || 181236971 || 77771 || 429
|11322 || 180708840 || 180791528 || 82688 || 458
|11357 || 181922760 || 181914829 || 7931 || 44
|11392 || 181307520 || 181391389 || 83869 || 463
|11467 || 181433880 || 181424453 || 9427 || 52
|11543 || 181329479 || 181316036 || 13443 || 74
|11618 || 186256799 || 186249915 || 6884 || 37
|11693 || 181313100 || 181392638 || 79538 || 439
|11730 || 181477800 || 181476776 || 1024 || 6
|11791 || 180675900 || 180667676 || 8224 || 46
|12081 || 181467000 || 181470791 || 3791 || 21
|12316 || 181302120 || 181379734 || 77614 || 428
|12476 || 181230660 || 181223460 || 7200 || 40
|12648 || 180796680 || 180864191 || 67511 || 373
|12827 || 181444860 || 181436794 || 8066 || 44
|12978 || 181406340 || 181399253 || 7087 || 39
|13024 || 180379260 || 180383220 || 3960 || 22
|13025 || 181296720 || 181298228 || 1508 || 8
|13026 || 181966680 || 181956251 || 10429 || 57
|13028 || 180988920 || 180990788 || 1868 || 10
|13029 || 181543679 || 181534253 || 9426 || 52
