| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 266067829 || 266076342 || 8513 || 32
|2 || 266045752 || 266049144 || 3392 || 13
|3 || 266027132 || 266029975 || 2843 || 11
|4 || 266059052 || 266068545 || 9493 || 36
|6 || 266046816 || 266049526 || 2710 || 10
|7 || 266036442 || 266039900 || 3458 || 13
|28 || 266051870 || 266054530 || 2660 || 10
|117 || 266031919 || 266034613 || 2694 || 10
|185 || 266069159 || 266077539 || 8380 || 31
|464 || 266045485 || 266047464 || 1979 || 7
|805 || 266068362 || 266076774 || 8412 || 32
|909 || 266041496 || 266046833 || 5337 || 20
|980 || 266054264 || 266063109 || 8845 || 33
|1067 || 266033249 || 266036276 || 3027 || 11
|1221 || 266032452 || 266035129 || 2677 || 10
|1299 || 266033782 || 266036326 || 2544 || 10
|1372 || 266042028 || 266044272 || 2244 || 8
|1457 || 266042559 || 266044971 || 2412 || 9
|1525 || 266053998 || 266062676 || 8678 || 33
|1600 || 266055860 || 266064455 || 8595 || 32
|1667 || 266033782 || 266036176 || 2394 || 9
|1739 || 266044422 || 266046799 || 2377 || 9
|1808 || 266023939 || 266026633 || 2694 || 10
|1935 || 266071287 || 266079335 || 8048 || 30
|2056 || 266031121 || 266033699 || 2578 || 10
|2192 || 266038836 || 266041596 || 2760 || 10
|2328 || 266029791 || 266032402 || 2611 || 10
|2369 || 266032718 || 266035262 || 2544 || 10
|2410 || 266027132 || 266029859 || 2727 || 10
|2451 || 266042294 || 266044339 || 2045 || 8
|2491 || 266030856 || 266033616 || 2760 || 10
|3432 || 266049210 || 266057606 || 8396 || 32
|4316 || 266040964 || 266043092 || 2128 || 8
|4480 || 266042559 || 266044738 || 2179 || 8
|4508 || 266048411 || 266050257 || 1846 || 7
|4799 || 266030058 || 266032386 || 2328 || 9
|5037 || 266034047 || 266036625 || 2578 || 10
|5100 || 266032452 || 266034530 || 2078 || 8
|5273 || 266054530 || 266057057 || 2527 || 9
|5376 || 266040166 || 266042144 || 1978 || 7
|5536 || 266042028 || 266044671 || 2643 || 10
|5640 || 266041762 || 266043790 || 2028 || 8
|5803 || 266022609 || 266024971 || 2362 || 9
|6142 || 266045752 || 266048096 || 2344 || 9
|6232 || 266030324 || 266033001 || 2677 || 10
|6324 || 266044688 || 266047115 || 2427 || 9
|6597 || 266038038 || 266040532 || 2494 || 9
|6690 || 266050806 || 266059235 || 8429 || 32
|6787 || 266035377 || 266038653 || 3276 || 12
|6835 || 266063574 || 266071837 || 8263 || 31
|6863 || 266030590 || 266033400 || 2810 || 11
|6914 || 266029791 || 266032469 || 2678 || 10
|6937 || 266044954 || 266047780 || 2826 || 11
|6961 || 266064903 || 266073167 || 8264 || 31
|6984 || 266023408 || 266026135 || 2727 || 10
|7011 || 266063042 || 266071338 || 8296 || 31
|7036 || 266032186 || 266034962 || 2776 || 10
|7063 || 266031121 || 266033749 || 2628 || 10
|7089 || 266027132 || 266030025 || 2893 || 11
|7150 || 266036175 || 266038803 || 2628 || 10
|7211 || 266035112 || 266037506 || 2394 || 9
|7268 || 266056126 || 266060897 || 4771 || 18
|7326 || 266059849 || 266068429 || 8580 || 32
|7375 || 266049741 || 266054846 || 5105 || 19
|7449 || 266030324 || 266033001 || 2677 || 10
|7595 || 266023408 || 266026184 || 2776 || 10
|7961 || 266060647 || 266068861 || 8214 || 31
|8083 || 266025270 || 266027997 || 2727 || 10
|8239 || 266022609 || 266025303 || 2694 || 10
|8324 || 266036708 || 266039551 || 2843 || 11
|8475 || 266031654 || 266034115 || 2461 || 9
|8506 || 266062775 || 266071089 || 8314 || 31
|8508 || 266052402 || 266054863 || 2461 || 9
|8509 || 266022876 || 266025519 || 2643 || 10
|8510 || 266048678 || 266057223 || 8545 || 32
|8512 || 266031388 || 266034031 || 2643 || 10
