| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 16000056 || 16000015 || 41 || 3
|1 || 16000056 || 16000015 || 41 || 3
|3 || 16000056 || 16000014 || 42 || 3
|4 || 16000056 || 16000015 || 41 || 3
|5 || 16000056 || 16000015 || 41 || 3
|7 || 16000056 || 16000015 || 41 || 3
|54 || 16000056 || 16000014 || 42 || 3
|296 || 16000056 || 16000018 || 38 || 2
|666 || 16000056 || 16000007 || 49 || 3
|1314 || 16000056 || 15999908 || 148 || 9
|1658 || 16000056 || 15999873 || 183 || 11
|5488 || 16000056 || 15999779 || 277 || 17
|6300 || 16000056 || 15999766 || 290 || 18
|8532 || 16000056 || 15999744 || 312 || 19
|13671 || 16000056 || 15999591 || 465 || 29
|15089 || 16000056 || 15999594 || 462 || 29
|16138 || 16000056 || 15999630 || 426 || 27
|17918 || 16000056 || 15999664 || 392 || 24
|19929 || 16000056 || 15999632 || 424 || 26
|20437 || 16000056 || 15999639 || 417 || 26
|21656 || 16000056 || 15999663 || 393 || 25
|22122 || 16000056 || 15999657 || 399 || 25
|22930 || 16000056 || 15999665 || 391 || 24
|23533 || 16000056 || 15999653 || 403 || 25
|23927 || 16000056 || 15999654 || 402 || 25
|24370 || 16000056 || 15999628 || 428 || 27
|24532 || 16000056 || 15999620 || 436 || 27
|24706 || 16000056 || 15999614 || 442 || 28
|24971 || 16000056 || 15999601 || 455 || 28
|25229 || 16000056 || 15999604 || 452 || 28
|25559 || 16000056 || 15999614 || 442 || 28
|25866 || 16000056 || 15999626 || 430 || 27
|26061 || 16000056 || 15999624 || 432 || 27
|26337 || 16000056 || 15999622 || 434 || 27
|26996 || 16000056 || 15999642 || 414 || 26
|27722 || 16000056 || 15999645 || 411 || 26
|27969 || 16000056 || 15999645 || 411 || 26
|28401 || 16000056 || 15999640 || 416 || 26
|29009 || 16000056 || 15999628 || 428 || 27
|29425 || 16000056 || 15999623 || 433 || 27
|29953 || 16000056 || 15999593 || 463 || 29
|30456 || 16000056 || 15999609 || 447 || 28
|31247 || 16000056 || 15999611 || 445 || 28
|31611 || 16000056 || 15999592 || 464 || 29
|32007 || 16000056 || 15999593 || 463 || 29
|32750 || 16000056 || 15999571 || 485 || 30
|33115 || 16000056 || 15999565 || 491 || 31
|33360 || 16000056 || 15999561 || 495 || 31
|33573 || 16000056 || 15999554 || 502 || 31
|33884 || 16000056 || 15999552 || 504 || 31
|33957 || 16000056 || 15999552 || 504 || 31
|34057 || 16000056 || 15999552 || 504 || 31
|34151 || 16000056 || 15999552 || 504 || 31
|34243 || 16000056 || 15999544 || 512 || 32
|34339 || 16000056 || 15999542 || 514 || 32
|34489 || 16000056 || 15999548 || 508 || 32
|34748 || 16000056 || 15999546 || 510 || 32
|35071 || 16000056 || 15999554 || 502 || 31
|35629 || 16000056 || 15999561 || 495 || 31
|36086 || 16000056 || 15999553 || 503 || 31
|36391 || 16000056 || 15999559 || 497 || 31
|38499 || 16000056 || 15999597 || 459 || 29
|39636 || 16000056 || 15999610 || 446 || 28
|39868 || 16000056 || 15999610 || 446 || 28
|40115 || 16000056 || 15999610 || 446 || 28
|40504 || 16000056 || 15999612 || 444 || 28
|40569 || 16000056 || 15999609 || 447 || 28
|40570 || 16000056 || 15999610 || 446 || 28
|40571 || 16000056 || 15999612 || 444 || 28
|40572 || 16000056 || 15999612 || 444 || 28
|40574 || 16000056 || 15999614 || 442 || 28
