| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 181708560 || 181697164 || 11396 || 63
|5 || 180670679 || 180663840 || 6839 || 38
|6 || 180505620 || 180494460 || 11160 || 62
|11 || 180983700 || 180977254 || 6446 || 36
|15 || 181708740 || 181700921 || 7819 || 43
|19 || 181351620 || 181343329 || 8291 || 46
|170 || 180747540 || 180736920 || 10620 || 59
|524 || 180324360 || 180317959 || 6401 || 35
|784 || 180494819 || 180485303 || 9516 || 53
|2115 || 181840500 || 181833851 || 6649 || 37
|3383 || 181785420 || 181778591 || 6829 || 38
|3656 || 181455840 || 181441980 || 13860 || 76
|3888 || 181296720 || 181289993 || 6727 || 37
|4151 || 185773500 || 185762261 || 11239 || 60
|4634 || 180769320 || 180758813 || 10507 || 58
|4805 || 180368280 || 180356344 || 11936 || 66
|4940 || 181225260 || 181218544 || 6716 || 37
|5219 || 181900980 || 181889561 || 11419 || 63
|5304 || 180522360 || 180514181 || 8179 || 45
|5405 || 180395820 || 180381330 || 14490 || 80
|5489 || 180785700 || 180773123 || 12577 || 70
|5701 || 181499940 || 181489703 || 10237 || 56
|5931 || 180560700 || 180551700 || 9000 || 50
|6371 || 180555120 || 180548381 || 6739 || 37
|6785 || 180719820 || 180706219 || 13601 || 75
|7254 || 180220140 || 180208800 || 11340 || 63
|7702 || 180258659 || 180246240 || 12419 || 69
|7890 || 180445320 || 180439481 || 5839 || 32
|8076 || 181697580 || 181689266 || 8314 || 46
|8264 || 180741780 || 180727920 || 13860 || 77
|8390 || 180626400 || 180614565 || 11835 || 66
|11657 || 180445140 || 180430211 || 14929 || 83
|14897 || 180544319 || 180536783 || 7536 || 42
|15342 || 181208700 || 181198316 || 10384 || 57
|15504 || 181686600 || 181673584 || 13016 || 72
|16212 || 180560879 || 180553883 || 6996 || 39
|16864 || 180236700 || 180225506 || 11194 || 62
|17295 || 181807380 || 181796130 || 11250 || 62
|18046 || 180264240 || 180253530 || 10710 || 59
|18473 || 180989100 || 180978784 || 10316 || 57
|19070 || 180324360 || 180311006 || 13354 || 74
|19500 || 181378980 || 181368664 || 10316 || 57
|20089 || 180269640 || 180259965 || 9675 || 54
|20759 || 181488960 || 181477620 || 11340 || 62
|20989 || 181796400 || 181788671 || 7729 || 43
|21339 || 181313100 || 181302053 || 11047 || 61
|21997 || 181922760 || 181913108 || 9652 || 53
|22224 || 181296720 || 181285459 || 11261 || 62
|22433 || 180802260 || 180788603 || 13657 || 76
|22654 || 180566100 || 180555143 || 10957 || 61
|22729 || 180401580 || 180393559 || 8021 || 44
|22973 || 180967320 || 180960559 || 6761 || 37
|23127 || 180522180 || 180512989 || 9191 || 51
|23246 || 180857160 || 180842963 || 14197 || 78
|23407 || 181922760 || 181909755 || 13005 || 71
|23680 || 181736099 || 181724254 || 11845 || 65
|23865 || 180467099 || 180457076 || 10023 || 56
|24016 || 180384840 || 180377483 || 7357 || 41
|24192 || 180330119 || 180321289 || 8830 || 49
|24427 || 180884520 || 180870390 || 14130 || 78
|24731 || 180434340 || 180420818 || 13522 || 75
|25254 || 181153980 || 181147815 || 6165 || 34
|25662 || 180296820 || 180281813 || 15007 || 83
|25985 || 181835100 || 181823321 || 11779 || 65
|26484 || 180362880 || 180351326 || 11554 || 64
|26845 || 180983519 || 180973496 || 10023 || 55
|27325 || 180483840 || 180476246 || 7594 || 42
|27493 || 181999800 || 181973734 || 26066 || 143
|27497 || 181192320 || 181182285 || 10035 || 55
|27502 || 180373860 || 180363701 || 10159 || 56
|27506 || 181126260 || 181114234 || 12026 || 66
|27510 || 181675620 || 181663301 || 12319 || 68
