| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 212609500 || 212608652 || 848 || 4
|2 || 212392412 || 212389153 || 3259 || 15
|3 || 213969056 || 213963610 || 5446 || 25
|4 || 213971812 || 213964432 || 7380 || 34
|5 || 214044952 || 214035187 || 9765 || 46
|7 || 213704056 || 213692741 || 11315 || 53
|143 || 213081836 || 213079796 || 2040 || 10
|512 || 213234264 || 213127522 || 106742 || 501
|833 || 213850123 || 213840849 || 9274 || 43
|1586 || 213445627 || 213446277 || 650 || 3
|2430 || 212561164 || 212558753 || 2411 || 11
|2740 || 212906512 || 212894905 || 11607 || 55
|3002 || 214053644 || 214046423 || 7221 || 34
|3282 || 214006792 || 213997875 || 8917 || 42
|4395 || 214047708 || 214038791 || 8917 || 42
|4671 || 214038804 || 214030973 || 7831 || 37
|4940 || 214064032 || 214056095 || 7937 || 37
|5757 || 213217728 || 213211209 || 6519 || 31
|6040 || 212545264 || 212537049 || 8215 || 39
|6301 || 213735644 || 213728078 || 7566 || 35
|6601 || 213249315 || 213239750 || 9565 || 45
|6939 || 213776772 || 213772294 || 4478 || 21
|7211 || 213546540 || 213542115 || 4425 || 21
|7474 || 213386691 || 213379153 || 7538 || 35
|8098 || 213903124 || 213905045 || 1921 || 9
|8684 || 213702360 || 213687560 || 14800 || 69
|9099 || 213793308 || 213789558 || 3750 || 18
|9495 || 213949763 || 213943484 || 6279 || 29
|9663 || 212520248 || 212511159 || 9089 || 43
|9828 || 213964603 || 213954746 || 9857 || 46
|10008 || 212977744 || 212975545 || 2199 || 10
|10200 || 212871532 || 212866471 || 5061 || 24
|14967 || 212939160 || 212823037 || 116123 || 545
|19730 || 213054275 || 213050314 || 3961 || 19
|20116 || 213128900 || 213116564 || 12336 || 58
|20264 || 213132292 || 213130450 || 1842 || 9
|20903 || 212750268 || 212739973 || 10295 || 48
|21427 || 213631128 || 213522293 || 108835 || 509
|21645 || 213758116 || 213753108 || 5008 || 23
|22003 || 213597632 || 213589868 || 7764 || 36
|22348 || 213723772 || 213717955 || 5817 || 27
|22880 || 213468736 || 213458534 || 10202 || 48
|23272 || 212826588 || 212821209 || 5379 || 25
|23749 || 214185932 || 214175451 || 10481 || 49
|24674 || 213806452 || 213812136 || 5684 || 27
|25747 || 213039224 || 213035951 || 3273 || 15
|26603 || 213811752 || 213805710 || 6042 || 28
|27398 || 213883196 || 213873073 || 10123 || 47
|28626 || 213879804 || 213870039 || 9765 || 46
|29502 || 214121696 || 214008236 || 113460 || 530
|29738 || 213701088 || 213665353 || 35735 || 167
|29992 || 212624128 || 212615582 || 8546 || 40
|30408 || 212574308 || 212566729 || 7579 || 36
|30621 || 213945312 || 213943020 || 2292 || 11
|30889 || 213654236 || 213643636 || 10600 || 50
|31029 || 212649356 || 212647713 || 1643 || 8
|31170 || 212356584 || 212352887 || 3697 || 17
|31356 || 213677979 || 213672813 || 5166 || 24
|31532 || 213896976 || 213885329 || 11647 || 54
|31686 || 213185928 || 213178720 || 7208 || 34
|31851 || 212656988 || 212651860 || 5128 || 24
|32035 || 212551624 || 212542667 || 8957 || 42
|32281 || 213694728 || 213685135 || 9593 || 45
|32580 || 212425272 || 212421880 || 3392 || 16
|32790 || 213304224 || 213294803 || 9421 || 44
|32972 || 213558200 || 213550104 || 8096 || 38
|33177 || 214212220 || 214208921 || 3299 || 15
|33377 || 212716136 || 212707537 || 8599 || 40
|33802 || 213620739 || 213616739 || 4000 || 19
|34276 || 212642572 || 212636822 || 5750 || 27
|34964 || 213315460 || 213307974 || 7486 || 35
|35685 || 214189960 || 214179744 || 10216 || 48
|36025 || 214109612 || 214098562 || 11050 || 52
|36383 || 212934284 || 212926506 || 7778 || 37
|36528 || 213254404 || 213252854 || 1550 || 7
|36983 || 213952944 || 213949088 || 3856 || 18
|37512 || 213640456 || 213634149 || 6307 || 30
|37671 || 213765535 || 213753373 || 12162 || 57
|37673 || 212566888 || 212559945 || 6943 || 33
|37674 || 213784828 || 213782761 || 2067 || 10
|37675 || 214339419 || 214306891 || 32528 || 152
|37677 || 212994703 || 212989060 || 5643 || 26
