| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 212537420 || 212523349 || 14071 || 66
|1 || 213391992 || 213379842 || 12150 || 57
|3 || 213166423 || 213157586 || 8837 || 41
|4 || 213114060 || 213111132 || 2928 || 14
|5 || 213463860 || 213459819 || 4041 || 19
|6 || 212730552 || 212725862 || 4690 || 22
|125 || 212550564 || 212539633 || 10931 || 51
|408 || 212332628 || 212326387 || 6241 || 29
|645 || 213130808 || 213117479 || 13329 || 63
|1203 || 212423364 || 212406590 || 16774 || 79
|1743 || 212077380 || 212068423 || 8957 || 42
|2001 || 213559896 || 213553006 || 6890 || 32
|2241 || 212852664 || 212840063 || 12601 || 59
|2497 || 212490992 || 212475145 || 15847 || 75
|2644 || 212702568 || 212694777 || 7791 || 37
|2772 || 214046012 || 214037757 || 8255 || 39
|3112 || 213804120 || 213796316 || 7804 || 37
|3388 || 212701084 || 212695877 || 5207 || 24
|3579 || 213640244 || 213629088 || 11156 || 52
|3899 || 213256524 || 213245036 || 11488 || 54
|4083 || 213598480 || 213588039 || 10441 || 49
|4273 || 213194196 || 213179250 || 14946 || 70
|4417 || 214005520 || 213992124 || 13396 || 63
|4667 || 212792456 || 212778173 || 14283 || 67
|4980 || 213616711 || 213610220 || 6491 || 30
|5182 || 213660171 || 213649453 || 10718 || 50
|5311 || 212718468 || 212710266 || 8202 || 39
|5495 || 212912448 || 212900205 || 12243 || 58
|5937 || 212886372 || 212876064 || 10308 || 48
|6334 || 212117024 || 212114414 || 2610 || 12
|6900 || 214003612 || 213990640 || 12972 || 61
|7565 || 212825104 || 212812344 || 12760 || 60
|7803 || 212612256 || 212599722 || 12534 || 59
|7939 || 213542935 || 213530084 || 12851 || 60
|8235 || 212952516 || 212938325 || 14191 || 67
|8510 || 212956544 || 212953417 || 3127 || 15
|8511 || 212176808 || 212174675 || 2133 || 10
|8515 || 213663352 || 213660079 || 3273 || 15
|8520 || 213428668 || 213425687 || 2981 || 14
|8524 || 212951880 || 212946527 || 5353 || 25
