| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 16000056 || 15999604 || 452 || 28
|2 || 16000056 || 15999604 || 452 || 28
|4 || 16000056 || 15999604 || 452 || 28
|5 || 16000056 || 15999605 || 451 || 28
|7 || 16000056 || 15999604 || 452 || 28
|9 || 16000056 || 15999604 || 452 || 28
|83 || 16000056 || 15999604 || 452 || 28
|384 || 16000056 || 15999604 || 452 || 28
|736 || 16000056 || 15999604 || 452 || 28
|1764 || 16000056 || 15999605 || 451 || 28
|2189 || 16000056 || 15999604 || 452 || 28
|6080 || 16000056 || 15999603 || 453 || 28
|6977 || 16000056 || 15999603 || 453 || 28
|9266 || 16000056 || 15999603 || 453 || 28
|10598 || 16000056 || 15999603 || 453 || 28
|12085 || 16000056 || 15999603 || 453 || 28
|13169 || 16000056 || 15999602 || 454 || 28
|15260 || 16000056 || 15999603 || 453 || 28
|15836 || 16000056 || 15999603 || 453 || 28
|17121 || 16000056 || 15999603 || 453 || 28
|17653 || 16000056 || 15999603 || 453 || 28
|18535 || 16000056 || 15999602 || 454 || 28
|19215 || 16000056 || 15999603 || 453 || 28
|19494 || 16000056 || 15999602 || 454 || 28
|19795 || 16000056 || 15999602 || 454 || 28
|20098 || 16000056 || 15999603 || 453 || 28
|20411 || 16000056 || 15999603 || 453 || 28
|20762 || 16000056 || 15999602 || 454 || 28
|21099 || 16000056 || 15999602 || 454 || 28
|21502 || 16000056 || 15999602 || 454 || 28
|21890 || 16000056 || 15999602 || 454 || 28
|22148 || 16000056 || 15999602 || 454 || 28
|22462 || 16000056 || 15999602 || 454 || 28
|22986 || 16000056 || 15999602 || 454 || 28
|23623 || 16000056 || 15999602 || 454 || 28
|23958 || 16000056 || 15999603 || 453 || 28
|24545 || 16000056 || 15999602 || 454 || 28
|25329 || 16000056 || 15999602 || 454 || 28
|25916 || 16000056 || 15999603 || 453 || 28
|26700 || 16000056 || 15999603 || 453 || 28
|27019 || 16000056 || 15999602 || 454 || 28
|27406 || 16000056 || 15999602 || 454 || 28
|27625 || 16000056 || 15999602 || 454 || 28
|27726 || 16000056 || 15999603 || 453 || 28
|28020 || 16000056 || 15999602 || 454 || 28
|28118 || 16000056 || 15999603 || 453 || 28
|28219 || 16000056 || 15999603 || 453 || 28
|28322 || 16000056 || 15999603 || 453 || 28
|28498 || 16000056 || 15999603 || 453 || 28
|28677 || 16000056 || 15999602 || 454 || 28
|28960 || 16000056 || 15999602 || 454 || 28
|29383 || 16000056 || 15999601 || 455 || 28
|30029 || 16000056 || 15999601 || 455 || 28
|30135 || 16000056 || 15999601 || 455 || 28
|33451 || 16000056 || 15999599 || 457 || 29
|34909 || 16000056 || 15999600 || 456 || 28
|35000 || 16000056 || 15999600 || 456 || 28
|35409 || 16000056 || 15999601 || 455 || 28
|35586 || 16000056 || 15999601 || 455 || 28
|35588 || 16000056 || 15999600 || 456 || 28
|35589 || 16000056 || 15999600 || 456 || 28
|35591 || 16000056 || 15999601 || 455 || 28
|35593 || 16000056 || 15999601 || 455 || 28
