| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_keccakc1024 <-] keccakc1024 [wiki:r2011platformsciphers_fritzbox-7170_keccakc1024 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc1024_compact compact] || 1713305 || 2043 || 464 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_keccakc512 <-] keccakc512 [wiki:r2011platformsciphers_fritzbox-7170_keccakc512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc512_compact compact] || 995366 || 2058 || 496 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_sha256 <-] sha256 [wiki:r2011platformsciphers_fritzbox-7170_sha256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha256_avrcryptolib avrcryptolib] || 293050 || 2374 || 880 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_blake256 <-] blake256 [wiki:r2011platformsciphers_fritzbox-7170_blake256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_blake256_armcryptolib armcryptolib] || 260468 || 2846 || 348 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_groestl256 <-] groestl256 [wiki:r2011platformsciphers_fritzbox-7170_groestl256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl256_armcryptolib armcryptolib] || 13133864 || 3063 || 552 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_groestl512 <-] groestl512 [wiki:r2011platformsciphers_fritzbox-7170_groestl512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl512_armcryptolib armcryptolib] || 19573894 || 3079 || 856 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_blake512 <-] blake512 [wiki:r2011platformsciphers_fritzbox-7170_blake512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_blake512_armcryptolib armcryptolib] || 269889 || 3310 || 580 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_jh256 <-] jh256 [wiki:r2011platformsciphers_fritzbox-7170_jh256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_jh256_opt8 opt8] || 7406922 || 4157 || 668 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_jh512 <-] jh512 [wiki:r2011platformsciphers_fritzbox-7170_jh512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_jh512_opt8 opt8] || 7406856 || 4157 || 700 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_skein512512 <-] skein512512 [wiki:r2011platformsciphers_fritzbox-7170_skein512512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_skein512512_armcryptolib armcryptolib] || 37227598 || 4418 || 736 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_sha512 <-] sha512 [wiki:r2011platformsciphers_fritzbox-7170_sha512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha512_sphlib sphlib] || 248411 || 7984 || 1520 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011ciphers_skein512256 <-] skein512256 [wiki:r2011platformsciphers_fritzbox-7170_skein512256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_skein512256_sphlib-small sphlib-small] || 239573 || 11638 || 1080 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_311 Run 311]
