| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_inplace32bi-armv6m_gcc inplace32bi-armv6m_gcc] || 281569 || 5312 || 256 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_319 Run 319]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 333047 || 12820 || 760 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_simple32bi simple32bi] || 344958 || 3736 || 696 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_simple simple] || 389228 || 4316 || 760 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_inplace32bi inplace32bi] || 389595 || 6372 || 640 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_inplace inplace] || 393852 || 7220 || 752 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_sphlib sphlib] || 464475 || 16268 || 792 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_sphlib-small sphlib-small] || 469445 || 5460 || 792 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_compact compact] || 1513543 || 1220 || 488 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_compact8 compact8] || 2037579 || 1396 || 592 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_315 Run 315]
