| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 191903 || 17540 || 968 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_simple32bi simple32bi] || 195289 || 5640 || 820 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_inplace32bi inplace32bi] || 199564 || 8868 || 924 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_opt32bi-s2lcu4 opt32bi-s2lcu4] || 209441 || 31312 || 1012 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_opt32biT-s2lcu4 opt32biT-s2lcu4] || 266153 || 30972 || 263164 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_312 Run 312]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_simple simple] || 319939 || 7568 || 832 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_inplace inplace] || 331594 || 12768 || 880 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_312 Run 312]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_sphlib-small sphlib-small] || 367211 || 10688 || 1052 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_compact compact] || 1161045 || 2212 || 464 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_compact8 compact8] || 1449315 || 2184 || 632 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_opt64lcu24 opt64lcu24] || 1462140 || 225176 || 1116 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_opt64u6 opt64u6] || 1494180 || 63000 || 1120 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_312 Run 312]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_opt64lcu6 opt64lcu6] || 1501313 || 63360 || 1128 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platformsimplementations_artila_m501_keccakc512_sphlib sphlib] || 1641229 || 31228 || 1244 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_313 Run 313]
