| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_sphlib-adapted sphlib-adapted] || 504575 || 32596 || 884 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_sphlib-small sphlib-small] || 511976 || 15276 || 884 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_sphlib sphlib] || 520860 || 29408 || 884 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_32bit-2ktable 32bit-2ktable] || 653493 || 8768 || 720 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_thumb-asm-fast thumb-asm-fast] || 744789 || 2116 || 328 || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_32bit-bytesliced-c-fast 32bit-bytesliced-c-fast] || 749884 || 4532 || 436 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_32bit-bytesliced-c-small 32bit-bytesliced-c-small] || 927316 || 3384 || 320 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_8bit_c 8bit_c] || 1060528 || 10392 || 884 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_304 Run 304]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_thumb-asm-small thumb-asm-small] || 1162136 || 1628 || 292 || [wiki:r2012compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2012runs_323 Run 323]
|[wiki:r2012platformsimplementations_lm3s811-evb_groestl256_armcryptolib armcryptolib] || 11674989 || 3212 || 560 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_320 Run 320]
