| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_avr8asmf avr8asmf] || 1711059 || 1482 || 13321 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_avr8asm avr8asm] || 1713246 || 1848 || 276 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_301 Run 301]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_avr8asm-size avr8asm-size] || 1718850 || 1714 || 276 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_avr8asmc avr8asmc] || 2132845 || 986 || 13315 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_avr8 avr8] || 2304853 || 2766 || 285 || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_compact8 compact8] || 9685784 || 3512 || 604 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_inplace inplace] || 10055135 || 74998 || 1717 || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_simple simple] || 10322463 || 49516 || 1679 || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_compact compact] || 11007946 || 4098 || 792 || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_keccakc512_sphlib-small sphlib-small] || 11881755 || 77330 || 2383 || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
