| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_simple32bi simple32bi] || 246795 || 8663 || 920 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_309 Run 309]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 257037 || 28294 || 1244 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_309 Run 309]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_opt32bi-s2lcu4 opt32bi-s2lcu4] || 267836 || 43777 || 1616 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_311 Run 311]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_inplace32bi inplace32bi] || 291858 || 13800 || 776 || [wiki:r2012compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:r2012runs_309 Run 309]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_opt32biT-s2lcu4 opt32biT-s2lcu4] || 322121 || 43669 || 263804 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_311 Run 311]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_simple simple] || 332032 || 10281 || 1280 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_311 Run 311]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_sphlib-small sphlib-small] || 348462 || 11801 || 2472 || [wiki:r2012compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2012runs_311 Run 311]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_inplace inplace] || 370404 || 17005 || 2304 || [wiki:r2012compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2012runs_309 Run 309]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_compact compact] || 583716 || 2778 || 496 || [wiki:r2012compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2012runs_309 Run 309]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_compact8 compact8] || 970231 || 3168 || 596 || [wiki:r2012compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:r2012runs_311 Run 311]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_opt64lcu6 opt64lcu6] || 3158681 || 79183 || 3236 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_311 Run 311]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_opt64u6 opt64u6] || 3330017 || 82989 || 3236 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_309 Run 309]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_sphlib sphlib] || 3406906 || 36919 || 5012 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_311 Run 311]
|[wiki:r2012platformsimplementations_fritzbox-7170_keccakc512_opt64lcu24 opt64lcu24] || 3735784 || 280444 || 7224 || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2012runs_309 Run 309]
